id,area,latitude,longitude,crime_type,severity,date,time,time_of_day,target_group,gender,age,age_group,crime_count,police_station,status
4293,Tagore Town Chowki,25.5068,81.766,Assault,2,23-05-2025,03:29,Night,Young Male,Male,23,Adult,2,George Town PS,Unreported
543,Holagarh Chowki,25.3003,81.729,Robbery,4,05-01-2025,21:35,Night,Adult Female,Female,35,Adult,1,Holagadh PS,Reported
680,Phaphamau Chowki,25.4152,81.7577,Chain Snatching,3,09-05-2025,16:44,Afternoon,Adult Female,Female,29,Adult,2,Jhunsi PS,Closed
3075,Karelabagh Chowki,25.4395,81.8121,Fraud,5,21-08-2025,02:15,Night,Older Male,Male,65,Senior,1,Kareli PS,Closed
4587,Nari Bari Chowki,25.3126,81.7898,Assault,4,20-07-2025,15:35,Afternoon,Adult Male,Male,40,Adult,1,Karchhana PS,Closed
3853,Mansoor Ali Park Chowki,25.5291,81.7947,Chain Snatching,1,23-03-2025,10:28,Morning,Young Female,Female,20,Adult,1,Khuldabad PS,Reported
1949,Sikandra Chowki,25.3063,81.7501,Fraud,3,08-09-2025,00:27,Night,Young Female,Female,20,Adult,2,Phulpur PS,Closed
421,Narayani Ashram Chowki,25.5039,81.8809,Kidnapping,4,24-01-2025,13:38,Afternoon,Children,Male,3,Child,3,Shivkuti PS,Under Investigation
3288,Narayani Ashram Chowki,25.4078,81.7022,Harassment,4,05-06-2025,19:28,Evening,Young Female,Female,24,Adult,1,Shivkuti PS,Unreported
3674,Andawa Chowki,25.4652,81.8918,Theft,1,08-04-2025,18:25,Evening,Adult Male,Male,50,Adult,2,Jhunsi PS,Closed
1654,Bahariya Bazar Chowki,25.413,81.8075,Theft,3,06-01-2025,02:49,Night,Adult Male,Male,53,Adult,2,Bahariya PS,Under Investigation
2229,Sarai Inayat Chowki,25.3827,81.7361,Fraud,2,12-04-2025,01:24,Night,Older Male,Male,63,Senior,2,Phulpur PS,Reported
4128,Nari Bari Chowki,25.5108,81.8904,Harassment,1,29-06-2025,05:39,Morning,Adult Female,Female,45,Adult,2,Karchhana PS,Unreported
2091,Janghai Chowki,25.3611,81.8987,Kidnapping,4,01-08-2025,08:47,Morning,Young Female,Female,16,Teen,1,Sarai Mamrej PS,Reported
3413,Atala Chowki,25.5455,81.7824,Theft,4,29-06-2025,18:57,Evening,Adult Male,Male,46,Adult,3,Khuldabad PS,Reported
3089,Noorullah Road Chowki,25.3726,81.8059,Domestic Violence,5,10-08-2025,14:27,Afternoon,Adult Female,Female,43,Adult,2,Shahganj PS,Closed
2189,Utraon Bazar Chowki,25.4524,81.8639,Fraud,3,26-03-2025,22:41,Night,Older Female,Female,69,Senior,2,Utraanv PS,Unreported
1967,Lalapur Chowki,25.3353,81.7175,Domestic Violence,5,14-10-2025,05:54,Morning,Young Female,Female,25,Adult,2,Lalapur PS,Reported
1883,Lal Gopalganj Chowki,25.3289,81.7483,Robbery,5,09-12-2025,16:29,Afternoon,Older Male,Male,64,Senior,1,Nawabganj PS,Under Investigation
2242,Laxmi Talkies Chowki,25.3273,81.8901,Kidnapping,5,04-08-2025,15:08,Afternoon,Young Female,Female,16,Teen,3,Mutthiganj PS,Closed
2835,Govindpur Chowki,25.4869,81.8984,Theft,5,24-10-2025,01:42,Night,Adult Female,Female,35,Adult,2,Shivkuti PS,Under Investigation
4851,Rambagh Chowki,25.4936,81.7038,Domestic Violence,5,23-02-2025,02:48,Night,Adult Female,Female,29,Adult,3,Kydganj PS,Reported
4928,ADA Colony Chowki,25.4543,81.7017,Robbery,3,21-12-2025,21:23,Night,Older Male,Male,68,Senior,3,Naini PS,Unreported
4948,Chhota Baghada Chowki,25.4324,81.8949,Fraud,1,19-06-2025,22:22,Night,Young Female,Female,24,Adult,2,George Town PS,Unreported
